Original Milano Pizza,36,14,$3.99 1 Cut of Pizza with One Toppings & 20 oz. Soda Student Special,Food Special,"Monday, Tuesday, Wednesday, Thursday, Friday",11:00AM - 8:30PM
Original Milano Pizza,37,14,$8.99 Large Plain Pizza Student Special,Food Special,"Monday, Tuesday, Wednesday, Thursday, Friday",11:00AM - 8:30PM
Original Milano Pizza,38,14,$9.99 X-Large Plain Pizza Student Special,Food Special,"Monday, Tuesday, Wednesday, Thursday, Friday",11:00AM - 8:30PM
Conflict Kitchen,39,15,$7 Falafel,Food Special,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",11:00AM - 6:00PM
The Porch,40,16,$5.50 Egg Sandwich with Coffee Breakfast,Food Special,"Monday, Tuesday, Wednesday, Thursday, Friday",7:00AM - 11:00AM
The Porch,41,16,"$1.00 Espresso, Cappuccino, Coffee",Food Special,"Monday, Tuesday, Wednesday, Thursday, Friday",7:00AM - 11:00AM
The Porch,42,16,1/2 Priced Pizza ,Food Special,"Monday, Tuesday, Wednesday, Thursday",9:00PM - 11:00PM
The Porch,43,16,$3 Beer Special,Drink Special,"Monday, Tuesday, Wednesday, Thursday",9:00PM - 11:00PM
The Porch,44,16,$5 Wine (Select Varieties) & $2 Drafts (All Drafts),Drink Special,"Monday, Tuesday, Wednesday, Thursday, Friday",4:30PM - 6:30PM
Waffallonia,45,17,$4.50 Sugar Waffle and Coffee ,Food Special,"Monday, Tuesday, Wednesday, Thursday, Friday",9:30AM - 6:00PM
Peter’s Pub,46,18,Bud Lt. Pitchers $5.50,Drink Special,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",7:00PM - 2:00AM
Peter’s Pub,47,18,35 Cent Wings,Food Special,Monday,9:00PM - 12:00AM
Peter’s Pub,48,18,Buckets of Beer $7.50,Drink Special,Monday,9:00PM - 11:00PM
Peter’s Pub,49,18,Salads $5,Food Special,Monday,5:00PM - 10:00PM
Peter’s Pub,50,18,Well Drinks $2,Drink Special,Tuesday,9:00PM - 11:00PM
Peter’s Pub,51,18,$2 Coors Light. Bottles,Drink Special,Tuesday,10:00PM - 12:00AM
Peter’s Pub,52,18,Wraps $5,Food Special,Tuesday,5:00PM - 10:00PM
Peter’s Pub,53,18,Fish Bowls $5.50,Drink Special,Wednesday,10:00PM - 12:00AM
Peter’s Pub,54,18,Smirnoff Fish Bowls $7.50,Drink Special,Wednesday,10:00PM - 12:00AM
Peter’s Pub,55,18,Yuengling Bottles $2,Drink Special,Wednesday,10:00PM - 12:00AM
Peter’s Pub,56,18,Sandwiches $5,Food Special,Wednesday,5:00PM - 10:00PM
Peter’s Pub,57,18,Long Island Iced Teas $3,Drink Special,Thursday,10:00PM - 12:00AM
Peter’s Pub,58,18,Bud Lt. Bottles $2,Drink Special,Thursday,10:00PM - 12:00AM
Peter’s Pub,59,18,Burgers $5,Food Special,Thursday,5:00PM - 10:00PM
Peter’s Pub,60,18,Single Captain and Cokes $3,Drink Special,Friday,10:00PM - 12:00AM
Peter’s Pub,61,18,Double Captain and Cokes $5,Drink Special,Friday,10:00PM - 12:00AM
Peter’s Pub,62,18,Miller Lite Bottles $2,Drink Special,Friday,10:00PM - 12:00AM
Peter’s Pub,63,18,All Drafts $2.50,Drink Special,Friday,5:00PM - 7:00PM
Peter’s Pub,64,18,$1 Off All Appetizers,Food Special,Friday,5:00PM - 10:00PM
Peter’s Pub,65,18,Malibu Red Drinks $2,Drink Special,Saturday,9:00PM - 11:00PM
Peter’s Pub,66,18,Well Drinks $2,Drink Special,Sunday,10:00PM - 12:00AM
Gene’s Place,67,19,"$1.75 22oz Duquesne Pilsner, $4.50 pitchers",Drink Special,Monday,11:00AM - 12:00AM
Gene’s Place,68,19,"$2.75 select pitchers including Stoney's, Straub & Yuengling Light",Drink Special,Tuesday,10:00PM - 12:00AM
Gene’s Place,69,19,$3 22oz Sierra Nevada and Guinness drafts,Drink Special,Thursday,10:00PM - 12:00AM
Hemingway’s Cafe,70,20,Miller Lite Bottles $2,Drink Special,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",11:00AM - 2:00AM
Hemingway’s Cafe,71,20,Miller Lite Drafts $1.50,Drink Special,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",11:00AM - 2:00AM
Hemingway’s Cafe,72,20,Fuzzy Naval Shot Pitcher $5,Drink Special,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",11:00AM - 2:00AM
Hemingway’s Cafe,73,20,1/2 Price Food Menu,Food Special,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",11:00AM - 12:00PM
Hemingway’s Cafe,74,20,1/2 Price Food Menu,Food Special,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",2:00PM - 4:00PM
Hemingway’s Cafe,75,20,1/2 Price Food Menu,Food Special,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",9:00PM - 12:00AM
Hemingway’s Cafe,76,20,Goose Island IPA pints $2.50,Drink Special,Monday,11:00AM - 12:00AM
Hemingway’s Cafe,77,20,Dale's Pale Ale Pints $2.50,Drink Special,Tuesday,11:00AM - 12:00AM
Hemingway’s Cafe,78,20,Blue Moon Pints $2.50,Drink Special,Wednesday,11:00AM - 12:00AM
Hemingway’s Cafe,79,20,1/2 Price Electricity Shot Pitchers,Drink Special,Wednesday,10:00PM - 12:00AM
Hemingway’s Cafe,80,20,Magic Hat #9 Pints $2.50,Drink Special,Thursday,11:00AM - 12:00AM
Hemingway’s Cafe,81,20,1/2 Price Long Island Shot Pitchers,Drink Special,Thursday,10:00PM - 12:00AM
Hemingway’s Cafe,82,20,Sierra Nevada Pale Ale Pints $2.50,Drink Special,Friday,11:00AM - 12:00AM
Hemingway’s Cafe,83,20,1/2 Price Jolly Rancher Shot Pitchers,Drink Special,Friday,10:00PM - 12:00AM
Garage Door Saloon,84,21,Karaoke Night,Entertainment,Tuesday,10:00PM - 2:00AM
Garage Door Saloon,85,21,$2 Bacardi Mixed Drinks,Drink Speical,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",Until 12:00AM
Garage Door Saloon,86,21,$2 Captain Morgan Mixed Drinks,Drink Special,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",Until 12:00AM
Garage Door Saloon,87,21,$1 Coors Light 16oz Drafts Til Midnight,Drink Special,Sunday,Until 12:00AM
Garage Door Saloon,88,21,$4 Coors Light Pitchers Til Midnight,Drink Special,Sunday,Until 12:00AM
Garage Door Saloon,89,21,$1 Molson 16oz Drafts Til Midnight,Drink Special,Monday,Until 12:00AM
Garage Door Saloon,90,21,$4 Molson Pitchers Til Midnight,Drink Special,Monday,Until 12:00AM
